Terran_Control_Tower 254; Terran_Comsat_Station 287; Terran_Barracks 87; Terran_Expansion 339; Terran_Refinery 102; Terran_Barracks2 639; Terran_Missile_Turret 461; Terran_Supply_Depot 57; Terran_Engineering_Bay 413; Terran_Science_Facility -1; Terran_Machine_Shop 320; Terran_Armory 214; Terran_Starport 207; Terran_Opening unknown; Terran_Academy 233; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station 591; Terran_Barracks 97; Terran_Expansion 226; Terran_Refinery 99; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 229; Terran_Armory 263; Terran_Starport 676; Terran_Opening vultures; Terran_Academy 501; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 310; Terran_Comsat_Station 585; Terran_Barracks 96; Terran_Expansion 370; Terran_Refinery 105; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 213; Terran_Armory 440; Terran_Starport 223; Terran_Opening air; Terran_Academy 504; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 986; Terran_Comsat_Station 322; Terran_Barracks 96; Terran_Expansion 385; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret 673; Terran_Supply_Depot 58; Terran_Engineering_Bay 627; Terran_Science_Facility 928; Terran_Machine_Shop 388; Terran_Armory 484; Terran_Starport 873; Terran_Opening ; Terran_Academy 258; Terran_Bunker 154; Terran_Factory 213; 
Terran_Control_Tower 428; Terran_Comsat_Station 872; Terran_Barracks 66; Terran_Expansion 251; Terran_Refinery 196; Terran_Barracks2 353; Terran_Missile_Turret 945; Terran_Supply_Depot 85; Terran_Engineering_Bay 875; Terran_Science_Facility -1; Terran_Machine_Shop 545; Terran_Armory 426; Terran_Starport 338; Terran_Opening ; Terran_Academy 788; Terran_Bunker 161; Terran_Factory 282; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 98; Terran_Expansion -1; Terran_Refinery 105; Terran_Barracks2 358; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory 321; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 94; Terran_Expansion -1; Terran_Refinery 95; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay 354; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory 231; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker 336; Terran_Factory 148; 
Terran_Control_Tower -1; Terran_Comsat_Station 557; Terran_Barracks 97; Terran_Expansion 382; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 55; Terran_Engineering_Bay 635; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory 410; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 491; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 484; Terran_Comsat_Station 460; Terran_Barracks 92; Terran_Expansion 237; Terran_Refinery 95; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 216; Terran_Armory 305; Terran_Starport 430; Terran_Opening ; Terran_Academy 405; Terran_Bunker -1; Terran_Factory 163; 
Terran_Control_Tower -1; Terran_Comsat_Station 566; Terran_Barracks 82; Terran_Expansion 471; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay 942; Terran_Science_Facility -1; Terran_Machine_Shop 215; Terran_Armory 347; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 506; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 395; Terran_Comsat_Station -1; Terran_Barracks 85; Terran_Expansion 403; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret 757; Terran_Supply_Depot 53; Terran_Engineering_Bay 716; Terran_Science_Facility -1; Terran_Machine_Shop 287; Terran_Armory 276; Terran_Starport 348; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 100; Terran_Expansion 410; Terran_Refinery 105; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 164; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 99; Terran_Expansion 221; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 255; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower -1; Terran_Comsat_Station 461; Terran_Barracks 99; Terran_Expansion 227; Terran_Refinery 103; Terran_Barracks2 505; Terran_Missile_Turret 634; Terran_Supply_Depot 55; Terran_Engineering_Bay 592; Terran_Science_Facility -1; Terran_Machine_Shop 240; Terran_Armory 397; Terran_Starport 668; Terran_Opening two_facto; Terran_Academy 399; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 319; Terran_Comsat_Station 628; Terran_Barracks 97; Terran_Expansion 217; Terran_Refinery 101; Terran_Barracks2 724; Terran_Missile_Turret -1; Terran_Supply_Depot 55; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 227; Terran_Armory 262; Terran_Starport 269; Terran_Opening two_facto; Terran_Academy 558; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion 213; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 204; Terran_Armory 403; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 101; Terran_Expansion 236; Terran_Refinery 104; Terran_Barracks2 424; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 266; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 677; Terran_Comsat_Station 654; Terran_Barracks 99; Terran_Expansion 236; Terran_Refinery 106; Terran_Barracks2 534; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 274; Terran_Armory 425; Terran_Starport 575; Terran_Opening unknown; Terran_Academy 595; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower -1; Terran_Comsat_Station 731; Terran_Barracks 101; Terran_Expansion 222; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 238; Terran_Armory 615; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 616; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station 570; Terran_Barracks 97; Terran_Expansion 231; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 953; Terran_Supply_Depot 58; Terran_Engineering_Bay 850; Terran_Science_Facility -1; Terran_Machine_Shop 264; Terran_Armory 278; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 517; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 684; Terran_Comsat_Station 766; Terran_Barracks 99; Terran_Expansion 280; Terran_Refinery 100; Terran_Barracks2 -1; Terran_Missile_Turret 770; Terran_Supply_Depot 57; Terran_Engineering_Bay 607; Terran_Science_Facility 837; Terran_Machine_Shop 256; Terran_Armory 558; Terran_Starport 628; Terran_Opening vultures; Terran_Academy 664; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower -1; Terran_Comsat_Station 354; Terran_Barracks 98; Terran_Expansion 229; Terran_Refinery 101; Terran_Barracks2 489; Terran_Missile_Turret 422; Terran_Supply_Depot 57; Terran_Engineering_Bay 330; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory 284; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 298; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 270; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion 424; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 244; Terran_Armory -1; Terran_Starport 224; Terran_Opening air; Terran_Academy 481; Terran_Bunker 249; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 86; Terran_Expansion 230; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 55; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 249; Terran_Armory 364; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 97; Terran_Expansion 208; Terran_Refinery 102; Terran_Barracks2 419; Terran_Missile_Turret -1; Terran_Supply_Depot 54; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 230; Terran_Armory 505; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 775; Terran_Comsat_Station 636; Terran_Barracks 90; Terran_Expansion 232; Terran_Refinery 108; Terran_Barracks2 464; Terran_Missile_Turret 837; Terran_Supply_Depot 58; Terran_Engineering_Bay 774; Terran_Science_Facility 778; Terran_Machine_Shop 257; Terran_Armory 412; Terran_Starport 712; Terran_Opening two_facto; Terran_Academy 546; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower 629; Terran_Comsat_Station 576; Terran_Barracks 99; Terran_Expansion 216; Terran_Refinery 103; Terran_Barracks2 1040; Terran_Missile_Turret 995; Terran_Supply_Depot 56; Terran_Engineering_Bay 946; Terran_Science_Facility 869; Terran_Machine_Shop 238; Terran_Armory 401; Terran_Starport 559; Terran_Opening two_facto; Terran_Academy 520; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 434; Terran_Comsat_Station 465; Terran_Barracks 98; Terran_Expansion 239; Terran_Refinery 102; Terran_Barracks2 519; Terran_Missile_Turret 692; Terran_Supply_Depot 58; Terran_Engineering_Bay 611; Terran_Science_Facility -1; Terran_Machine_Shop 225; Terran_Armory 268; Terran_Starport 387; Terran_Opening ; Terran_Academy 395; Terran_Bunker -1; Terran_Factory 151; 
Terran_Control_Tower 502; Terran_Comsat_Station -1; Terran_Barracks 98; Terran_Expansion 376; Terran_Refinery 102; Terran_Barracks2 631; Terran_Missile_Turret 384; Terran_Supply_Depot 58; Terran_Engineering_Bay 319; Terran_Science_Facility -1; Terran_Machine_Shop 206; Terran_Armory 397; Terran_Starport 390; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 347; Terran_Comsat_Station 595; Terran_Barracks 90; Terran_Expansion 334; Terran_Refinery 109; Terran_Barracks2 256; Terran_Missile_Turret 733; Terran_Supply_Depot 57; Terran_Engineering_Bay 688; Terran_Science_Facility 658; Terran_Machine_Shop 239; Terran_Armory 532; Terran_Starport 223; Terran_Opening air; Terran_Academy 535; Terran_Bunker -1; Terran_Factory 167; 
Terran_Control_Tower 584; Terran_Comsat_Station 452; Terran_Barracks 99; Terran_Expansion 223; Terran_Refinery 103; Terran_Barracks2 264; Terran_Missile_Turret 335; Terran_Supply_Depot 58; Terran_Engineering_Bay 294; Terran_Science_Facility -1; Terran_Machine_Shop 218; Terran_Armory 327; Terran_Starport 518; Terran_Opening two_facto; Terran_Academy 389; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower 440; Terran_Comsat_Station 498; Terran_Barracks 100; Terran_Expansion 236; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay 550; Terran_Science_Facility -1; Terran_Machine_Shop 258; Terran_Armory 416; Terran_Starport 387; Terran_Opening two_facto; Terran_Academy 439; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower -1; Terran_Comsat_Station 465; Terran_Barracks 88; Terran_Expansion 239; Terran_Refinery 103; Terran_Barracks2 354; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay 546; Terran_Science_Facility -1; Terran_Machine_Shop 229; Terran_Armory 328; Terran_Starport 533; Terran_Opening ; Terran_Academy 396; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 99; Terran_Expansion 223; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 254; Terran_Armory -1; Terran_Starport 487; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 204; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 55; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 232; Terran_Armory 621; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station 418; Terran_Barracks 102; Terran_Expansion 215; Terran_Refinery 98; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 238; Terran_Armory 320; Terran_Starport 540; Terran_Opening two_facto; Terran_Academy 329; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 391; Terran_Comsat_Station 511; Terran_Barracks 89; Terran_Expansion 380; Terran_Refinery 108; Terran_Barracks2 172; Terran_Missile_Turret 406; Terran_Supply_Depot 55; Terran_Engineering_Bay 305; Terran_Science_Facility -1; Terran_Machine_Shop 232; Terran_Armory 529; Terran_Starport 211; Terran_Opening air; Terran_Academy 442; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower -1; Terran_Comsat_Station 479; Terran_Barracks 85; Terran_Expansion 216; Terran_Refinery 111; Terran_Barracks2 327; Terran_Missile_Turret 641; Terran_Supply_Depot 58; Terran_Engineering_Bay 578; Terran_Science_Facility -1; Terran_Machine_Shop 241; Terran_Armory 446; Terran_Starport 497; Terran_Opening two_facto; Terran_Academy 396; Terran_Bunker -1; Terran_Factory 167; 
Terran_Control_Tower -1; Terran_Comsat_Station 401; Terran_Barracks 88; Terran_Expansion 340; Terran_Refinery 113; Terran_Barracks2 178; Terran_Missile_Turret 508; Terran_Supply_Depot 55; Terran_Engineering_Bay 366; Terran_Science_Facility -1; Terran_Machine_Shop 223; Terran_Armory 225; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 346; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion -1; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 196; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 68; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 95; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker 149; Terran_Factory -1; 
Terran_Control_Tower 715; Terran_Comsat_Station 819; Terran_Barracks 99; Terran_Expansion 214; Terran_Refinery 97; Terran_Barracks2 658; Terran_Missile_Turret -1; Terran_Supply_Depot 55; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 229; Terran_Armory -1; Terran_Starport 471; Terran_Opening two_facto; Terran_Academy 717; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station 483; Terran_Barracks 95; Terran_Expansion 217; Terran_Refinery 100; Terran_Barracks2 -1; Terran_Missile_Turret 672; Terran_Supply_Depot 57; Terran_Engineering_Bay 620; Terran_Science_Facility -1; Terran_Machine_Shop 226; Terran_Armory 551; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 394; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 98; Terran_Expansion 219; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 253; Terran_Armory -1; Terran_Starport 483; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion 207; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 231; Terran_Armory 518; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 267; Terran_Comsat_Station 453; Terran_Barracks 97; Terran_Expansion 291; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 419; Terran_Supply_Depot 57; Terran_Engineering_Bay 374; Terran_Science_Facility -1; Terran_Machine_Shop 227; Terran_Armory -1; Terran_Starport 216; Terran_Opening air; Terran_Academy 376; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 261; Terran_Comsat_Station 346; Terran_Barracks 95; Terran_Expansion 428; Terran_Refinery 102; Terran_Barracks2 247; Terran_Missile_Turret 444; Terran_Supply_Depot 57; Terran_Engineering_Bay 379; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 497; Terran_Starport 211; Terran_Opening air; Terran_Academy 283; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 256; Terran_Comsat_Station 417; Terran_Barracks 102; Terran_Expansion 377; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 234; Terran_Armory -1; Terran_Starport 209; Terran_Opening air; Terran_Academy 362; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 325; Terran_Comsat_Station 416; Terran_Barracks 90; Terran_Expansion 210; Terran_Refinery 105; Terran_Barracks2 193; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay 391; Terran_Science_Facility -1; Terran_Machine_Shop 206; Terran_Armory -1; Terran_Starport 240; Terran_Opening air; Terran_Academy 354; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 264; Terran_Comsat_Station 410; Terran_Barracks 98; Terran_Expansion 400; Terran_Refinery 97; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 234; Terran_Armory 583; Terran_Starport 214; Terran_Opening air; Terran_Academy 351; Terran_Bunker 258; Terran_Factory 159; 
Terran_Control_Tower 520; Terran_Comsat_Station 408; Terran_Barracks 84; Terran_Expansion 203; Terran_Refinery 100; Terran_Barracks2 459; Terran_Missile_Turret 644; Terran_Supply_Depot 55; Terran_Engineering_Bay 573; Terran_Science_Facility 617; Terran_Machine_Shop 206; Terran_Armory 264; Terran_Starport 460; Terran_Opening two_facto; Terran_Academy 350; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 270; Terran_Comsat_Station -1; Terran_Barracks 101; Terran_Expansion -1; Terran_Refinery 100; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 243; Terran_Armory -1; Terran_Starport 214; Terran_Opening air; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 93; Terran_Expansion -1; Terran_Refinery 108; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 54; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory 230; Terran_Starport 327; Terran_Opening two_facto; Terran_Academy 327; Terran_Bunker -1; Terran_Factory 169; 
Terran_Control_Tower 257; Terran_Comsat_Station 469; Terran_Barracks 99; Terran_Expansion 381; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret 588; Terran_Supply_Depot 59; Terran_Engineering_Bay 494; Terran_Science_Facility 0; Terran_Machine_Shop 236; Terran_Armory 585; Terran_Starport 210; Terran_Opening air; Terran_Academy 416; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 674; Terran_Comsat_Station 404; Terran_Barracks 100; Terran_Expansion 223; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret 431; Terran_Supply_Depot 56; Terran_Engineering_Bay 364; Terran_Science_Facility 873; Terran_Machine_Shop 230; Terran_Armory 261; Terran_Starport 593; Terran_Opening two_facto; Terran_Academy 330; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 264; Terran_Comsat_Station 559; Terran_Barracks 99; Terran_Expansion 360; Terran_Refinery 102; Terran_Barracks2 626; Terran_Missile_Turret 692; Terran_Supply_Depot 59; Terran_Engineering_Bay 628; Terran_Science_Facility 801; Terran_Machine_Shop 227; Terran_Armory 451; Terran_Starport 218; Terran_Opening air; Terran_Academy 493; Terran_Bunker 329; Terran_Factory 152; 
Terran_Control_Tower 587; Terran_Comsat_Station 408; Terran_Barracks 82; Terran_Expansion 225; Terran_Refinery 102; Terran_Barracks2 697; Terran_Missile_Turret 468; Terran_Supply_Depot 53; Terran_Engineering_Bay 410; Terran_Science_Facility 0; Terran_Machine_Shop 234; Terran_Armory 313; Terran_Starport 526; Terran_Opening two_facto; Terran_Academy 343; Terran_Bunker -1; Terran_Factory 150; 
Terran_Control_Tower 279; Terran_Comsat_Station -1; Terran_Barracks 97; Terran_Expansion -1; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 236; Terran_Armory -1; Terran_Starport 229; Terran_Opening air; Terran_Academy 369; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 367; Terran_Comsat_Station -1; Terran_Barracks 99; Terran_Expansion -1; Terran_Refinery 107; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay 390; Terran_Science_Facility -1; Terran_Machine_Shop 270; Terran_Armory -1; Terran_Starport 238; Terran_Opening air; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 175; 
Terran_Control_Tower 255; Terran_Comsat_Station 424; Terran_Barracks 97; Terran_Expansion 516; Terran_Refinery 101; Terran_Barracks2 526; Terran_Missile_Turret 472; Terran_Supply_Depot 56; Terran_Engineering_Bay 396; Terran_Science_Facility -1; Terran_Machine_Shop 235; Terran_Armory -1; Terran_Starport 208; Terran_Opening air; Terran_Academy 364; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 268; Terran_Comsat_Station 399; Terran_Barracks 95; Terran_Expansion 466; Terran_Refinery 98; Terran_Barracks2 -1; Terran_Missile_Turret 508; Terran_Supply_Depot 52; Terran_Engineering_Bay 429; Terran_Science_Facility -1; Terran_Machine_Shop 379; Terran_Armory 598; Terran_Starport 215; Terran_Opening air; Terran_Academy 346; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 82; Terran_Expansion 264; Terran_Refinery 102; Terran_Barracks2 206; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory 296; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker 307; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 100; Terran_Expansion 312; Terran_Refinery 99; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 206; Terran_Armory 259; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 154; 
